title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
MSc Mathematics and Finance	Imperial College London · Mathematics	顶尖高校课程	数理金融 / 衍生品	Machine Learning / Deep Learning / RL	高级	English	95	在衍生品和数理金融基础上延伸到机器学习、深度学习、强化学习和优化，适合高阶教师自学。	用于构建数理基础—数值方法—AI方法的进阶路线。	https://www.imperial.ac.uk/mathematics/postgraduate/msc/mathematical-finance/prospective-students/	2026-09-11	Imperial;mathematical finance;RL;optimization
Finance Theory I	MIT OpenCourseWare	顶尖高校课程	金融基础 / 衍生品 / 投资组合	Open Courseware	入门	English	94	公开课程覆盖债券、远期与期货、期权、风险收益、投资组合和CAPM，材料完整且便于教师对照。	用于金融工程先修知识、课堂阅读和习题设计参考。	https://ocw.mit.edu/courses/15-401-finance-theory-i-fall-2008/	2026-09-11	MIT OCW;forwards;options;portfolio
Analytics of Finance	MIT OpenCourseWare	顶尖高校课程	金融计量 / 数值金融	Monte Carlo / Optimization	进阶	English	95	把金融计量、动态优化、Monte Carlo、Ito过程、投资组合、风险与衍生品分析结合，是量化课程优秀开放范例。	用于金融计算、风险管理和衍生品数值实验设计。	https://ocw.mit.edu/courses/15-450-analytics-of-finance-fall-2010/	2026-09-11	MIT OCW;Monte Carlo;econometrics;derivatives
Financial Markets	Yale Open Courses	顶尖高校课程	金融市场 / 风险管理	Open Courseware	入门	English	91	Shiller公开课程从风险管理与金融市场制度出发，适合作为金融工程市场背景和案例素材。	用于导论、金融创新背景与风险管理课堂拓展。	https://oyc.yale.edu/economics/econ-252	2026-09-11	Yale;Shiller;financial markets;risk management
机器学习与资产定价	北京大学金融工程实验室	顶尖高校课程	资产定价 / 量化投资	机器学习 / Python / 金融文本	进阶	中文	97	面向高年级本科生和研究生，兼顾机器学习原理、金融数据分析和Python程序实现，并直接连接资产定价。	用于本科AI模块、量化投资案例和国内课程对标。	https://finlab.pku.edu.cn/pku/teaching.jsp	2026-09-11	北京大学;机器学习;资产定价;Python
清华经管AI＋金融课程群	清华大学经济管理学院	顶尖高校课程	资产定价 / 金融大数据	机器学习 / 深度学习	进阶	中文	95	教师课程信息显示本科开设机器学习及其金融应用、深度学习及其金融应用，并延伸至机器学习金融前沿。	用于国内本科AI金融课程设置和专题深度对标。	https://www.sem.tsinghua.edu.cn/info/1207/32006.htm	2026-09-11	清华经管;机器学习;深度学习;金融应用
金融专业硕士课程体系：金融科技与人工智能方向	清华大学五道口金融学院	顶尖高校课程	金融科技 / 金融衍生品	AI / 金融大数据	进阶	中文	95	课程体系同时包含金融衍生工具、金融数据分析、金融大数据、人工智能与金融创新前沿等内容。	用于国内金融专业课程中AI模块位置与先修关系对标。	https://mf.pbcsf.tsinghua.edu.cn/kctxjszll/kctx.htm	2026-09-11	清华五道口;金融科技;人工智能;金融衍生工具
金融MBA课程体系中的AI金融模块	复旦大学国际金融学院	顶尖高校课程	投资组合 / 金融服务	AI in Financial Services	进阶	中文	90	课程包含Python、AI in Financial Services以及投资组合行为金融学与AI应用，体现AI与金融管理课程的融合方式。	用于借鉴生成式AI和数据科学融入金融课程的模块化设计。	https://fisf.fudan.edu.cn/page-full_course.html	2026-09-11	复旦FISF;AI in Financial Services;Python;portfolio
CME Education Course Catalog	CME Group	金融机构教育资源	期货 / 期权 / 衍生品	Industry Education	入门	English	94	官方课程目录覆盖期货、期权、市场机制和产品知识，适合按教学模块挑选行业材料。	用于期货、期权章节的课前阅读与课堂案例补充。	https://www.cmegroup.com/education/courses	2026-09-11	CME;course catalog;futures;options
Introduction to Options	CME Group	金融机构教育资源	期权基础	Interactive Learning	入门	English	92	CME官方期权入门课程，聚焦期权基本术语、权利义务和交易逻辑。	用于期权第一讲、翻转课堂和概念自测。	https://www.cmegroup.com/education/courses/introduction-to-options	2026-09-11	CME;options;introductory
Options on Futures Guide	CME Group	金融机构教育资源	期货期权	Industry Guide	进阶	English	91	以交易所视角解释期货期权及其风险管理用途，适合连接理论定价和真实市场产品。	用于期货期权、套期保值与行业实践教学。	https://www.cmegroup.com/education/brochures-and-handbooks/options-on-futures-brochure	2026-09-11	CME;options on futures;hedging
Options Institute Learning Portal	Cboe Global Markets	金融机构教育资源	期权 / 指数衍生品	Structured Learning	入门	English	94	Cboe官方学习门户提供从基础到策略的结构化路径，适合作为期权模块的课外学习入口。	用于学生自学清单和教师备课素材导航。	https://www.cboe.com/optionsinstitute/learningportal/	2026-09-11	Cboe;learning portal;options
Spread Strategies	Cboe Options Institute	金融机构教育资源	期权策略	Strategy Education	进阶	English	91	聚焦垂直价差、水平价差等组合策略，便于从收益图走向策略选择和风险暴露分析。	用于牛熊价差、蝶式等策略讲解和案例比较。	https://www.cboe.com/optionsinstitute/courses/spread-strategies/	2026-09-11	Cboe;spread;strategy;payoff
How Options Trades Happen	Cboe Options Institute	金融机构教育资源	期权市场微观结构	Market Microstructure	进阶	English	89	从交易所角度解释期权订单和成交机制，弥补教材偏重定价、轻交易机制的不足。	用于期权交易机制、报价和市场微观结构拓展。	https://www.cboe.com/optionsinstitute/courses/how-options-trades-happen	2026-09-11	Cboe;market microstructure;trading
Options Calculator	Cboe Options Institute	金融工程AI工具箱	期权定价 / 希腊字母	Interactive Calculator	进阶	English	91	官方期权计算工具有助于把定价输入、理论价值和敏感性分析连接起来。	用于Black–Scholes、隐含波动率和Greeks课堂演示。	https://www.cboe.com/optionsinstitute/tools/options-calculator/	2026-09-11	Cboe;calculator;Greeks;volatility
Options Basics	Options Industry Council	金融机构教育资源	期权基础	Industry Education	入门	English	93	OIC是美国期权行业教育的重要官方资源，基础模块适合系统复习期权术语与机制。	用于期权基础章节和学生课外自学。	https://www.optionseducation.org/optionsoverview/options-basics	2026-09-11	OIC;options basics;education
Options Pricing	Options Industry Council	金融机构教育资源	期权定价	Pricing Education	进阶	English	93	解释影响期权价格的核心因素，可与Black–Scholes公式和比较静态分析结合。	用于期权价值构成、时间价值和波动率影响教学。	https://prd-web.optionseducation.org/optionsoverview/options-pricing	2026-09-11	OIC;pricing;time value;volatility
Understanding Options Greeks	Options Industry Council	金融机构教育资源	期权风险管理	Greeks	进阶	English	94	系统解释Delta、Gamma、Theta、Vega等风险指标，是连接期权定价与风险管理的优质行业材料。	用于Greeks、动态套保与组合风险管理。	https://www.optionseducation.org/advancedconcepts/understanding-options-greeks	2026-09-11	OIC;Greeks;delta;gamma
